District,Job Openings,Agriculture Forestry Fishing and Hunting jobs,Mining Quarrying and Oil and Gas Extraction jobs,Utilities jobs,Construction jobs,Manufacturing jobs,Wholesale Trade jobs,Retail Trade jobs,Transportation and Warehousing jobs,Information jobs,Finance and Insurance jobs,Real Estate and Rental and Leasing jobs,Professional Scientific and Technical Services jobs,Management of Companies and Enterprises jobs,Administration & Support Waste Management and Remediation jobs,Educational Services jobs,Health Care and Social Assistance jobs,Arts Entertainment and Recreation jobs,Accommodation and Food Services jobs,Public Administration jobs,Other Services (excluding Public Administration) jobs,fast food jobs,Median Salary,Location ZIP Code
Penasquitos,28,2,0,0,2,2,4,3,0,14,7,0,4,9,1,4,4,2,0,2,4,2,37566.0,92129
Point Loma,67,1,1,4,2,0,5,16,0,28,11,1,11,14,0,13,5,18,2,6,9,7,42214.5,92106
Poway,114,5,3,2,10,5,11,24,14,24,11,2,15,38,3,7,20,13,1,10,15,19,36933.0,92064
Ramona,12,1,0,0,2,3,0,0,0,1,0,0,3,2,0,2,1,2,1,1,0,4,32389.5,92065
Rancho Bernardo,177,6,6,4,15,13,8,30,9,40,18,3,50,52,7,16,20,27,3,8,33,12,43953.5,92127
Rancho Santa Fe,8,3,0,0,2,0,0,0,0,2,0,0,1,2,1,1,0,1,1,0,2,2,41740.0,92067
San Carlos,7,1,0,0,0,0,0,0,0,0,0,2,0,3,0,1,1,5,0,1,0,2,33392.0,92119
San Marcos,140,7,1,7,19,7,14,41,8,40,11,4,18,37,4,26,13,14,3,18,24,23,38893.0,92069
San Ysidro,30,2,0,0,0,0,4,13,0,6,3,0,1,12,1,2,4,5,1,5,4,7,31550.0,92173
Santee,43,0,3,1,3,5,6,13,1,10,5,1,2,6,1,6,2,6,1,4,9,7,35339.5,92071
Scripps Ranch,53,3,1,1,6,2,5,12,1,15,12,1,7,13,4,11,3,7,5,6,20,13,39653.0,92131
Serra Mesa,218,3,11,14,26,11,12,35,12,89,37,5,30,67,12,17,27,20,2,33,26,28,41740.0,92123
Solana Beach,30,8,0,2,1,0,3,4,0,11,4,0,4,13,0,4,2,2,1,3,2,8,33796.0,92075
Sorrento Valley,559,10,11,78,42,60,44,152,36,171,78,8,147,181,13,42,30,37,2,43,96,12,52175.0,92121
Spring Valley,36,1,0,1,3,1,2,10,4,9,3,2,6,7,1,3,7,8,0,2,6,0,35973.666666666664,91978
Tierrasanta,5,0,0,0,0,0,1,1,0,3,0,0,1,0,1,0,0,0,1,0,0,1,30450.0,92124
University City,86,4,1,0,9,0,9,17,2,30,23,1,5,28,4,24,12,6,2,6,11,11,37566.0,92122
Valley Center,22,2,0,1,0,1,0,0,0,2,4,0,1,3,1,0,3,3,7,2,3,1,35739.5,92082
Vista,146,9,2,11,10,21,8,33,8,41,8,1,19,42,4,17,16,10,2,15,17,14,38476.25,92083
